Date	Quantité
01/01/2016	500
01/03/2016	200
01/05/2016	100
01/09/2016	100
01/11/2016	500
03/01/2016	-18
05/01/2016	-17
07/01/2016	-20
09/01/2016	-19
11/01/2016	-21
13/01/2016	-20
15/01/2016	-20
17/01/2016	-18
19/01/2016	-16
21/01/2016	-14
23/01/2016	-11
25/01/2016	-10
27/01/2016	-11
29/01/2016	-9
31/01/2016	-11
02/02/2016	-18
04/02/2016	-21
06/02/2016	-22
08/02/2016	-21
10/02/2016	-20
12/02/2016	-19
14/02/2016	-15
16/02/2016	-14
18/02/2016	-15
20/02/2016	-16
22/02/2016	-15
24/02/2016	-16
26/02/2016	-14
28/02/2016	-12
01/03/2016	-10
03/03/2016	-10
05/03/2016	-11
07/03/2016	-11
09/03/2016	-12
11/03/2016	-13
13/03/2016	-14
15/03/2016	-13
17/03/2016	-12
19/03/2016	-10
21/03/2016	-9
23/03/2016	-9
25/03/2016	-8
27/03/2016	-7
29/03/2016	-7
31/03/2016	-6
14/04/2016	-5
16/04/2016	-5
18/04/2016	-4
20/04/2016	-4
22/04/2016	-4
24/04/2016	-3
26/04/2016	-4
28/04/2016	-4
30/04/2016	-5
21/09/2016	-5
24/09/2016	-4
27/09/2016	-5
30/09/2016	-6
03/10/2016	-7
06/10/2016	-8
09/10/2016	-9
12/10/2016	-8
15/10/2016	-8
18/10/2016	-9
21/10/2016	-11
24/10/2016	-12
27/10/2016	-13
30/10/2016	-12
02/11/2016	-12
05/11/2016	-12
08/11/2016	-13
11/11/2016	-14
14/11/2016	-15
17/11/2016	-17
20/11/2016	-18
23/11/2016	-20
26/11/2016	-19
29/11/2016	-21
02/12/2016	-21
05/12/2016	-20
08/12/2016	-18
11/12/2016	-19
14/12/2016	-18
17/12/2016	-18
20/12/2016	-17
23/12/2016	-18
26/12/2016	-19
29/12/2016	-21
